County,Day,Cases
Jefferson,20,0
Lafayette,20,0
Lake,20,3
Lee,20,10
Leon,20,1
Levy,20,0
Liberty,20,0
Madison,20,0
Manatee,20,1
Marion,20,1
Martin,20,1
Monroe,20,1
Nassau,20,0
Okaloosa,20,2
Okeechobee,20,0
Orange,20,9
Osceola,20,2
Palm Beach,20,28
Pasco,20,5
Pinellas,20,10
Polk,20,0
Putnam,20,1
Santa Rosa,20,0
Sarasota,20,5
Seminole,20,3
St. Johns,20,8
St. Lucie,20,2
Sumter,20,4
Suwannee,20,0
Taylor,20,0
Union,20,0
Unknown,20,0
Volusia,20,2
Wakulla,20,0
Walton,20,0
Washington,20,0
Saint Johns,20,0
Saint Lucie,20,0
Florida,20,306
Alachua,21,2
Baker,21,0
Bay,21,0
Bradford,21,0
Brevard,21,0
Broward,21,43
Calhoun,21,0
Charlotte,21,0
Citrus,21,0
Clay,21,0
Collier,21,5
Columbia,21,1
Dade,21,38
Desoto,21,0
Dixie,21,0
Duval,21,10
Escambia,21,4
Flagler,21,1
Franklin,21,0
Gadsden,21,0
Gilchrist,21,0
Glades,21,0
Gulf,21,0
Hamilton,21,0
Hardee,21,0
Hendry,21,0
Hernando,21,0
Highlands,21,1
Hillsborough,21,18
Holmes,21,0
Indian River,21,2
Jackson,21,0
Jefferson,21,0
Lafayette,21,0
Lake,21,3
Lee,21,3
Leon,21,0
Levy,21,0
